Date		|	Time		|	FromZone		|	ToZone
04/10/2021	|	10:20		|	2				|	1
04/10/2021	|	10:45		|	1				|	1
04/10/2021	|	16:15		|	1				|	1
04/10/2021	|	18:15		|	1				|	1
04/10/2021	|	19:00		|	1				|	2
-------------------------------------------------------------------------------------------------
Date		|	Time		|	FromZone	|		ToZone
04/10/2021	|	10:20		|	2			|		1
04/10/2021	|	10:45		|	1			|		1
04/10/2021	|	16:15		|	1			|		1
04/10/2021	|	18:15		|	1			|		1
04/10/2021	|	19:00		|	1			|		2
05/10/2021	|	10:20		|	2			|		1
05/10/2021	|	10:45		|	1			|		1
05/10/2021	|	16:15		|	1			|		1
05/10/2021	|	18:15		|	1			|		1
05/10/2021	|	19:00		|	1			|		2
--------------------------------------------------------------------------------------------------
Date		|	Time		|	FromZone	|		ToZone
04/10/2021	|	10:20		|	2			|		1
04/10/2021	|	10:45		|	1			|		1
04/10/2021	|	16:15		|	1			|		1
05/10/2021	|	10:20		|	2			|		1
05/10/2021	|	10:45		|	1			|		1
05/10/2021	|	16:15		|	1			|		1
05/10/2021	|	18:15		|	1			|		1
05/10/2021	|	19:00		|	1			|		2
--------------------------------------------------------------------------------------------------
Date		|	Time		|	FromZone	|		ToZone
04/10/2021	|	10:20		|	2			|		1
04/10/2021	|	10:45		|	1			|		1
04/10/2021	|	16:15		|	1			|		1
05/10/2021	|	10:20		|	2			|		1
05/10/2021	|	10:45		|	1			|		1
05/10/2021	|	16:15		|	1			|		1
---------------------------------------------------------------------------------------------------
Date		|	Time		|	FromZone	|		ToZone
04/10/2021	|	10:20		|	2			|		1
04/10/2021	|	10:45		|	1			|		1
04/10/2021	|	16:15		|	1			|		1
04/10/2021	|	18:15		|	1			|		1
04/10/2021	|	19:00		|	1			|		2
05/10/2021	|	10:20		|	2			|		1
05/10/2021	|	10:45		|	1			|		1
05/10/2021	|	16:15		|	1			|		1
05/10/2021	|	18:15		|	1			|		1
05/10/2021	|	19:00		|	1			|		2
06/10/2021	|	10:20		|	2			|		1
06/10/2021	|	10:45		|	1			|		1
06/10/2021	|	16:15		|	1			|		1
06/10/2021	|	18:15		|	1			|		1
06/10/2021	|	19:00		|	1			|		2
07/10/2021	|	10:20		|	2			|		1
07/10/2021	|	10:45		|	1			|		1
07/10/2021	|	16:15		|	1			|		1
07/10/2021	|	18:15		|	1			|		1
07/10/2021	|	19:00		|	1			|		2
08/10/2021	|	10:20		|	2			|		1
08/10/2021	|	10:45		|	1			|		1
08/10/2021	|	16:15		|	1			|		1
08/10/2021	|	18:15		|	1			|		1
08/10/2021	|	19:00		|	1			|		2
09/10/2021	|	10:20		|	2			|		1
09/10/2021	|	10:45		|	1			|		1
09/10/2021	|	16:15		|	1			|		1
09/10/2021	|	18:15		|	1			|		1
09/10/2021	|	19:00		|	1			|		2
10/10/2021	|	10:20		|	2			|		1
10/10/2021	|	10:45		|	1			|		1
10/10/2021	|	16:15		|	1			|		1
10/10/2021	|	18:15		|	1			|		1
10/10/2021	|	19:00		|	1			|		2
11/10/2021	|	10:20		|	1			|		1
11/10/2021	|	10:45		|	1			|		1
11/10/2021	|	16:15		|	1			|		1
11/10/2021	|	18:15		|	1			|		1
11/10/2021	|	19:00		|	1			|		1
--------------------------------------------------------------------------------------------------
